accession,reference_length,covered_bases,reads_aligned,mean_coverage,RPKMF,sequence_name,taxid,kingdom,phylum,class,order,family,genus,species,associated_with_(not_categorized),grouped_association,subspecies,strain,sample_ID,total_filtered_reads_in_sample,description,solid_fluid,sample_type
KJ206566.1,2836,2836,362,"19,528667000","1,69222e+01","Human circovirus VS6600022, complete genome",1525173,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Human circovirus VS6600022,Humans,Human and other animals,unclassified Human circovirus VS6600022 subspecies/strain,unclassified Human circovirus VS6600022 strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
KJ206566.1,2836,2816,180,"9,634400000","1,41781e+01","Human circovirus VS6600022, complete genome",1525173,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Human circovirus VS6600022,Humans,Human and other animals,unclassified Human circovirus VS6600022 subspecies/strain,unclassified Human circovirus VS6600022 strain,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
KJ206566.1,2836,2836,931,"49,947506000","4,46029e+01","Human circovirus VS6600022, complete genome",1525173,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Human circovirus VS6600022,Humans,Human and other animals,unclassified Human circovirus VS6600022 subspecies/strain,unclassified Human circovirus VS6600022 strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
KJ206566.1,2836,2836,840,"45,637005000","3,60674e+01","Human circovirus VS6600022, complete genome",1525173,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Human circovirus VS6600022,Humans,Human and other animals,unclassified Human circovirus VS6600022 subspecies/strain,unclassified Human circovirus VS6600022 strain,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
KJ206566.1,2836,2836,1269,"68,270294000","5,85813e+01","Human circovirus VS6600022, complete genome",1525173,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Human circovirus VS6600022,Humans,Human and other animals,unclassified Human circovirus VS6600022 subspecies/strain,unclassified Human circovirus VS6600022 strain,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
KJ206566.1,2836,2836,614,"33,482130000","2,38829e+01","Human circovirus VS6600022, complete genome",1525173,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Human circovirus VS6600022,Humans,Human and other animals,unclassified Human circovirus VS6600022 subspecies/strain,unclassified Human circovirus VS6600022 strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
JX503060.1,27263,3860,52,"0,293807400","1,01069e-01","Human coronavirus 229E isolate 0349, complete genome",11137,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Human coronavirus 229E,Humans,Human and other animals,unclassified Human coronavirus 229E subspecies/strain,unclassified Human coronavirus 229E strain,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
JX503060.1,27263,5612,96,"0,532143240","4,66824e-01","Human coronavirus 229E isolate 0349, complete genome",11137,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Human coronavirus 229E,Humans,Human and other animals,unclassified Human coronavirus 229E subspecies/strain,unclassified Human coronavirus 229E strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
JX503060.1,27263,13668,262,"1,455574900","1,30571e+00","Human coronavirus 229E isolate 0349, complete genome",11137,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Human coronavirus 229E,Humans,Human and other animals,unclassified Human coronavirus 229E subspecies/strain,unclassified Human coronavirus 229E strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
JX503060.1,27263,2412,47,"0,261756360","2,09926e-01","Human coronavirus 229E isolate 0349, complete genome",11137,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Human coronavirus 229E,Humans,Human and other animals,unclassified Human coronavirus 229E subspecies/strain,unclassified Human coronavirus 229E strain,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
JX503060.1,27263,1643,16,"0,085494040","7,68334e-02","Human coronavirus 229E isolate 0349, complete genome",11137,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Human coronavirus 229E,Humans,Human and other animals,unclassified Human coronavirus 229E subspecies/strain,unclassified Human coronavirus 229E strain,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
KT779555.1,29887,1244,10,"0,050442210","4,43581e-02","Human coronavirus HKU1 isolate BJ01-p3, complete genome",290028,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,Human coronavirus HKU1,Humans,Human and other animals,unclassified Human coronavirus HKU1 subspecies/strain,unclassified Human coronavirus HKU1 strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
KT779555.1,29887,2016,22,"0,111847190","1,00014e-01","Human coronavirus HKU1 isolate BJ01-p3, complete genome",290028,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,Human coronavirus HKU1,Humans,Human and other animals,unclassified Human coronavirus HKU1 subspecies/strain,unclassified Human coronavirus HKU1 strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
KJ194505.1,7802,1197,14,"0,268687930","2,37891e-01","Human cosavirus isolate Cosavirus_Amsterdam_1994, complete genome",1233383,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cosavirus,Human cosavirus,Humans,Human and other animals,unclassified Human cosavirus subspecies/strain,unclassified Human cosavirus strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
KJ194505.1,7802,2860,58,"1,124673200","1,01005e+00","Human cosavirus isolate Cosavirus_Amsterdam_1994, complete genome",1233383,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cosavirus,Human cosavirus,Humans,Human and other animals,unclassified Human cosavirus subspecies/strain,unclassified Human cosavirus strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
KJ194505.1,7802,1420,24,"0,472164150","3,39336e-01","Human cosavirus isolate Cosavirus_Amsterdam_1994, complete genome",1233383,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cosavirus,Human cosavirus,Humans,Human and other animals,unclassified Human cosavirus subspecies/strain,unclassified Human cosavirus strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
MF118167.1,3925,3807,33808,"1296,165000000","4,56426e+02","Human fecal virus Jorvi2, complete genome",2017081,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi2,Humans,Human and other animals,unclassified Human fecal virus Jorvi2 subspecies/strain,unclassified Human fecal virus Jorvi2 strain,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
MF118167.1,3925,3814,142437,"5418,484000000","5,67032e+03","Human fecal virus Jorvi2, complete genome",2017081,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi2,Humans,Human and other animals,unclassified Human fecal virus Jorvi2 subspecies/strain,unclassified Human fecal virus Jorvi2 strain,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
MF118167.1,3925,3897,89749,"3423,627000000","3,03141e+03","Human fecal virus Jorvi2, complete genome",2017081,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi2,Humans,Human and other animals,unclassified Human fecal virus Jorvi2 subspecies/strain,unclassified Human fecal virus Jorvi2 strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
MF118167.1,3925,3754,3661,"140,817490000","2,08358e+02","Human fecal virus Jorvi2, complete genome",2017081,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi2,Humans,Human and other animals,unclassified Human fecal virus Jorvi2 subspecies/strain,unclassified Human fecal virus Jorvi2 strain,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
MF118167.1,3925,3792,101248,"3880,353000000","3,50483e+03","Human fecal virus Jorvi2, complete genome",2017081,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi2,Humans,Human and other animals,unclassified Human fecal virus Jorvi2 subspecies/strain,unclassified Human fecal virus Jorvi2 strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
MF118167.1,3925,3829,75369,"2883,879200000","2,33827e+03","Human fecal virus Jorvi2, complete genome",2017081,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi2,Humans,Human and other animals,unclassified Human fecal virus Jorvi2 subspecies/strain,unclassified Human fecal virus Jorvi2 strain,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
MF118167.1,3925,3816,139053,"5291,718300000","4,63815e+03","Human fecal virus Jorvi2, complete genome",2017081,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi2,Humans,Human and other animals,unclassified Human fecal virus Jorvi2 subspecies/strain,unclassified Human fecal virus Jorvi2 strain,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
MF118167.1,3925,3898,61264,"2341,669700000","1,72183e+03","Human fecal virus Jorvi2, complete genome",2017081,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi2,Humans,Human and other animals,unclassified Human fecal virus Jorvi2 subspecies/strain,unclassified Human fecal virus Jorvi2 strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
MF118169.1,2343,1974,57,"3,591883200","1,28912e+00","Human fecal virus Jorvi4, complete genome",2017083,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi4,Humans,Human and other animals,unclassified Human fecal virus Jorvi4 subspecies/strain,unclassified Human fecal virus Jorvi4 strain,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
MF118169.1,2343,2343,216,"14,014592000","1,44047e+01","Human fecal virus Jorvi4, complete genome",2017083,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi4,Humans,Human and other animals,unclassified Human fecal virus Jorvi4 subspecies/strain,unclassified Human fecal virus Jorvi4 strain,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
MF118169.1,2343,2343,252,"16,134064000","1,42588e+01","Human fecal virus Jorvi4, complete genome",2017083,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi4,Humans,Human and other animals,unclassified Human fecal virus Jorvi4 subspecies/strain,unclassified Human fecal virus Jorvi4 strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
MF118169.1,2343,1997,66,"4,357045000","3,82729e+00","Human fecal virus Jorvi4, complete genome",2017083,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi4,Humans,Human and other animals,unclassified Human fecal virus Jorvi4 subspecies/strain,unclassified Human fecal virus Jorvi4 strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
MF118169.1,2343,2325,93,"6,152302700","4,83339e+00","Human fecal virus Jorvi4, complete genome",2017083,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi4,Humans,Human and other animals,unclassified Human fecal virus Jorvi4 subspecies/strain,unclassified Human fecal virus Jorvi4 strain,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
MF118169.1,2343,2249,151,"9,800730000","8,43740e+00","Human fecal virus Jorvi4, complete genome",2017083,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi4,Humans,Human and other animals,unclassified Human fecal virus Jorvi4 subspecies/strain,unclassified Human fecal virus Jorvi4 strain,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
MF118169.1,2343,1701,44,"2,880529000","2,07159e+00","Human fecal virus Jorvi4, complete genome",2017083,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Human fecal virus Jorvi4,Humans,Human and other animals,unclassified Human fecal virus Jorvi4 subspecies/strain,unclassified Human fecal virus Jorvi4 strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
LN827554.1,165750,9192,144,"0,128460140","4,60362e-02","Human herpesvirus 4 genome assembly AFB1b, segment : I",10376,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,unclassified Human gammaherpesvirus 4 subspecies/strain,unclassified Human gammaherpesvirus 4 strain,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
NC_009334.1,172764,20825,303,"0,255993130","9,29351e-02","Human herpesvirus 4, complete genome",12509,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,Human herpesvirus 4 type 2,Human herpesvirus 4 type 2,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
LN827554.1,165750,3741,93,"0,078568840","8,76705e-02","Human herpesvirus 4 genome assembly AFB1b, segment : I",10376,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,unclassified Human gammaherpesvirus 4 subspecies/strain,unclassified Human gammaherpesvirus 4 strain,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
NC_009334.1,172764,10574,228,"0,185651230","2,06208e-01","Human herpesvirus 4, complete genome",12509,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,Human herpesvirus 4 type 2,Human herpesvirus 4 type 2,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
LN827554.1,165750,30276,510,"0,456056770","4,07917e-01","Human herpesvirus 4 genome assembly AFB1b, segment : I",10376,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,unclassified Human gammaherpesvirus 4 subspecies/strain,unclassified Human gammaherpesvirus 4 strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
NC_009334.1,172764,45928,661,"0,563140870","5,07228e-01","Human herpesvirus 4, complete genome",12509,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,Human herpesvirus 4 type 2,Human herpesvirus 4 type 2,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
NC_009334.1,172764,57215,1678,"1,429959300","2,16965e+00","Human herpesvirus 4, complete genome",12509,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,Human herpesvirus 4 type 2,Human herpesvirus 4 type 2,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
LN827554.1,165750,12612,237,"0,210597830","1,94274e-01","Human herpesvirus 4 genome assembly AFB1b, segment : I",10376,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,unclassified Human gammaherpesvirus 4 subspecies/strain,unclassified Human gammaherpesvirus 4 strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
NC_009334.1,172764,26395,445,"0,378161670","3,49967e-01","Human herpesvirus 4, complete genome",12509,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,Human herpesvirus 4 type 2,Human herpesvirus 4 type 2,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
LN827554.1,165750,27962,627,"0,562536240","4,60633e-01","Human herpesvirus 4 genome assembly AFB1b, segment : I",10376,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,unclassified Human gammaherpesvirus 4 subspecies/strain,unclassified Human gammaherpesvirus 4 strain,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
NC_009334.1,172764,45510,860,"0,721789660","6,06159e-01","Human herpesvirus 4, complete genome",12509,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,Human herpesvirus 4 type 2,Human herpesvirus 4 type 2,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
LN827554.1,165750,26066,525,"0,456775370","4,14677e-01","Human herpesvirus 4 genome assembly AFB1b, segment : I",10376,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,unclassified Human gammaherpesvirus 4 subspecies/strain,unclassified Human gammaherpesvirus 4 strain,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
NC_009334.1,172764,44802,895,"0,756363900","6,78225e-01","Human herpesvirus 4, complete genome",12509,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,Human herpesvirus 4 type 2,Human herpesvirus 4 type 2,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
LN827554.1,165750,16934,313,"0,274921500","2,08312e-01","Human herpesvirus 4 genome assembly AFB1b, segment : I",10376,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,unclassified Human gammaherpesvirus 4 subspecies/strain,unclassified Human gammaherpesvirus 4 strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
NC_009334.1,172764,31793,567,"0,481861260","3,62038e-01","Human herpesvirus 4, complete genome",12509,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,Humans,Human and other animals,Human herpesvirus 4 type 2,Human herpesvirus 4 type 2,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
MN205539.1,137429,1863,35,"0,056366960","1,34952e-02","UNVERIFIED: Human gammaherpesvirus 8 strain BCBL-1, complete genome",37296,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Human gammaherpesvirus 8,Humans,Human and other animals,unclassified Human gammaherpesvirus 8 subspecies/strain,unclassified Human gammaherpesvirus 8 strain,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
MN205539.1,137429,4428,70,"0,078234840","5,61881e-02","UNVERIFIED: Human gammaherpesvirus 8 strain BCBL-1, complete genome",37296,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Human gammaherpesvirus 8,Humans,Human and other animals,unclassified Human gammaherpesvirus 8 subspecies/strain,unclassified Human gammaherpesvirus 8 strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
NC_001802.1,9181,1019,25,"0,342597720","6,08276e-01","Human immunodeficiency virus 1, complete genome",11676,Viruses,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human immunodeficiency virus 1,Humans,Human and other animals,unclassified Human immunodeficiency virus 1 subspecies/strain,unclassified Human immunodeficiency virus 1 strain,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
KX868289.2,33676,3977,46,"0,209509040","7,23815e-02","Human adenovirus 12 isolate GyK010, complete genome",28282,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 12,Human adenovirus 12,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
AM749299.1,33763,17944,344,"1,521792200","5,39893e-01","Human adenovirus type 31 complete genome, serotype 31",10529,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 31,Human adenovirus 31,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
KX868289.2,33676,10114,205,"0,912784100","9,51169e-01","Human adenovirus 12 isolate GyK010, complete genome",28282,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 12,Human adenovirus 12,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
AM749299.1,33763,32221,1884,"8,249695000","8,71895e+00","Human adenovirus type 31 complete genome, serotype 31",10529,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 31,Human adenovirus 31,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
KX868289.2,33676,21061,423,"1,866879500","1,66523e+00","Human adenovirus 12 isolate GyK010, complete genome",28282,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 12,Human adenovirus 12,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
AM749299.1,33763,32614,1544,"6,830274000","6,06264e+00","Human adenovirus type 31 complete genome, serotype 31",10529,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 31,Human adenovirus 31,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
KX868289.2,33676,8099,145,"0,646990400","9,61830e-01","Human adenovirus 12 isolate GyK010, complete genome",28282,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 12,Human adenovirus 12,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
AM749299.1,33763,23582,654,"2,891916800","4,32701e+00","Human adenovirus type 31 complete genome, serotype 31",10529,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 31,Human adenovirus 31,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
KX868289.2,33676,15709,248,"1,099773300","1,00058e+00","Human adenovirus 12 isolate GyK010, complete genome",28282,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 12,Human adenovirus 12,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
AM749299.1,33763,17728,351,"1,554249900","1,41249e+00","Human adenovirus type 31 complete genome, serotype 31",10529,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 31,Human adenovirus 31,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
KX868289.2,33676,30986,1262,"5,590228600","4,56331e+00","Human adenovirus 12 isolate GyK010, complete genome",28282,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 12,Human adenovirus 12,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
AM749299.1,33763,26880,921,"4,041204500","3,32170e+00","Human adenovirus type 31 complete genome, serotype 31",10529,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 31,Human adenovirus 31,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
KX868289.2,33676,16247,322,"1,442522200","1,25181e+00","Human adenovirus 12 isolate GyK010, complete genome",28282,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 12,Human adenovirus 12,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
GU191019.1,34177,7956,119,"0,524730400","4,55845e-01","Human adenovirus 18 isolate D.C., complete genome",10528,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 18,Human adenovirus 18,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
AM749299.1,33763,33090,2839,"12,444292000","1,10085e+01","Human adenovirus type 31 complete genome, serotype 31",10529,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 31,Human adenovirus 31,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
KX868289.2,33676,11867,221,"0,978852200","7,23929e-01","Human adenovirus 12 isolate GyK010, complete genome",28282,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 12,Human adenovirus 12,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
GU191019.1,34177,16303,289,"1,258294900","9,32799e-01","Human adenovirus 18 isolate D.C., complete genome",10528,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 18,Human adenovirus 18,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
AM749299.1,33763,33650,3008,"13,231488000","9,82791e+00","Human adenovirus type 31 complete genome, serotype 31",10529,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus A,Humans,Human and other animals,Human adenovirus 31,Human adenovirus 31,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
